id	type	language	license	rightsHolder	accessRights	bibliographicCitation	references	institutionID	datasetName	ownerInstitutionCode	informationWithheld	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	startDayOfYear	endDayOfYear	fieldNumber	fieldNotes	eventRemarks	continent	country	countryCode	stateProvince	locality	verbatimElevation	locationRemarks	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	georeferenceRemarks
P1-F1-B1-TC1-1-1	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC1-1-1	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 75	20/10/2015	293	323	Cotacachi Cayapas Baja | TC1-1-1		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC1-1-1|Criterios de colocacion: Actividad de fauna; topografia|Descrpcion del criterio: Cuchilla paso frecuente de animales area bajo conservacion sociobosque|Codigo camara: P850HI01226331|Modelo de camara: Reconix PC850  |Ano de camara: 2013|Sensibilidad: 100	South America	Ecuador	EC	Esmeraldas	Guadual	164,8	Categoria manejo: Socio Bosque	lat: 0,794161 | lon: -78,951939	87835,48711	727925,2632	UTM 17N	WGS84	0,79416	-78,95194	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC2-2-1	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC2-2-1	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 215	20/10/2015	293	323	Cotacachi Cayapas Baja | TC2-2-1		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC2-2-1|Criterios de colocacion: Actividad de fauna; agua disponible|Descrpcion del criterio: Estero paso frecuente de animales area bajo conservacion sociobosque|Codigo camara: P850HI01226320|Modelo de camara: Reconix PC850  |Ano de camara: 2013|Sensibilidad: 100	South America	Ecuador	EC	Esmeraldas	Guadual	85,5	Categoria manejo: Socio Bosque	lat: 0,791096 | lon: -78,956618	87496,23713	727404,4907	UTM 17N	WGS84	0,79110	-78,95662	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC3-1-2	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC3-1-2	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 30	20/10/2015	293	323	Cotacachi Cayapas Baja | TC3-1-2		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC3-1-2|Criterios de colocacion: Actividad de fauna|Descrpcion del criterio: Sendero transitable|Codigo camara: P850HH12225800|Modelo de camara: Reconix PC850 |Ano de camara: 2013|Sensibilidad: 75	South America	Ecuador	EC	Esmeraldas	Guadual	153,7	Categoria manejo: Socio Bosque	lat: 0,803013 | lon: -78,952821	88814,48085	727826,5772	UTM 17N	WGS84	0,80301	-78,95282	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC4-2-2	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC4-2-2	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 20	20/10/2015	293	323	Cotacachi Cayapas Baja | TC4-2-2		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC4-2-2|Criterios de colocacion: Actividad de fauna; Alimento disponible|Descrpcion del criterio: Sendero transitable; Semillas|Codigo camara: P850HH12225584|Modelo de camara: Reconix PC850 |Ano de camara: 2013|Sensibilidad: 75	South America	Ecuador	EC	Esmeraldas	Guadual	131,3	Categoria manejo: Socio Bosque	lat: 0,799739 | lon: -78,956042	88452,19352	727468,1464	UTM 17N	WGS84	0,79974	-78,95604	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC7-1-4	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC7-1-4	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 20	21/10/2015	294	324	Cotacachi Cayapas Baja | TC7-1-4		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC7-1-4|Criterios de colocacion: Actividad de fauna; Alimento disponible|Descrpcion del criterio: Sendero transitable; Semillas|Codigo camara: P850HI01226468|Modelo de camara: Reconix PC850 |Ano de camara: 2013|Sensibilidad: 75	South America	Ecuador	EC	Esmeraldas	San Miguel Negro	68,0	Categoria manejo: Socio Bosque	lat: 0,753063 | lon: -78,877347	83293,96904	736232,5013	UTM 17N	WGS84	0,75306	-78,87735	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC8-2-4	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC8-2-4	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 0	21/10/2015	294	324	Cotacachi Cayapas Baja | TC8-2-4		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC8-2-4|Criterios de colocacion: Actividad de fauna; Alimento disponible|Descrpcion del criterio: Sendero transitable; Semillas|Codigo camara: ND|Modelo de camara: Reconix PC850 |Ano de camara: 2013|Sensibilidad: 75	South America	Ecuador	EC	Esmeraldas	San Miguel Negro	103,7	Categoria manejo: Socio Bosque	lat: 0,75301 | lon: -78,891299	83287,35265	734679,0638	UTM 17N	WGS84	0,75301	-78,89130	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC10-2-5	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC10-2-5	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 115	22/10/2015	295	325	Cotacachi Cayapas Baja | TC10-2-5		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC10-2-5|Criterios de colocacion: Actividad de fauna; topografia|Descrpcion del criterio: Cuchilla paso frecuente de animales area bajo conservacion sociobosque|Codigo camara: P850HH12225778|Modelo de camara: Reconix PC850  |Ano de camara: 2013|Sensibilidad: 100	South America	Ecuador	EC	Esmeraldas	Corriente Grande	284,1	Categoria manejo: Socio Bosque	lat: 0,664055 | lon: -78,966725	73444,91504	726285,5597	UTM 17N	WGS84	0,66406	-78,96673	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC11-1-6	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC11-1-6	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 65	22/10/2015	295	325	Cotacachi Cayapas Baja | TC11-1-6	SI TIENE REPLICA	Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC11-1-6|Criterios de colocacion: Actividad de fauna; Alimento disponible|Descrpcion del criterio: Sendero transitable; Semillas|Codigo camara: P850HH12225574|Modelo de camara: Reconix PC850 |Ano de camara: 2013|Sensibilidad: 75	South America	Ecuador	EC	Esmeraldas	Corriente Grande	237,3	Categoria manejo: Socio Bosque	lat: 0,672135 | lon: -78,945336	74339,5621	728666,6115	UTM 17N	WGS84	0,67214	-78,94534	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC12-2-6	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC12-2-6	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 55	22/10/2015	295	325	Cotacachi Cayapas Baja | TC12-2-6		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC12-2-6|Criterios de colocacion: Actividad de fauna; Alimento disponible|Descrpcion del criterio: Sendero transitable; Semillas|Codigo camara: P850HI01226304|Modelo de camara: Reconix PC850 |Ano de camara: 2013|Sensibilidad: 75	South America	Ecuador	EC	Esmeraldas	Corriente Grande	279,0	Categoria manejo: Socio Bosque	lat: 0,679041 | lon: -78,934549	75103,88969	729867,3085	UTM 17N	WGS84	0,67904	-78,93455	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
P1-F1-B1-TC9-1-5	Event	ES	https://creativecommons.org/licenses/by/4.0/	Ministerio del Ambiente y Agua de Ecuador, Subsecretaría de Patrimonio Natural, Dirección de Biodiversidad	CC BY-NC	Ministerio del Ambiente y Agua. 2021. Registro de trampas cámara del monitoreo a escala de paisajes. Proyecto Paisajes - Vida Silvestre, WCS, GEF, PNUD. Fuente: Ministerio del Ambiente y Wildlife Conservation Society. 2019. Monitoreo a escala de paisajes. Proyecto Paisajes – Vida Silvestre, WCS, GEF, PNUD. Quito, Ecuador	https://www.ambiente.gob.ec/alto-al-trafico-ilegal-animales-silvestres/	http://www.ambiente.gob.ec/	Proyecto Paisajes - Vida Silvestre - Cámaras trampa	MAAE - SPN - DBI		P1-F1-B1-TC9-1-5	WCS – Ecuador (2015): Selección de hasta 45 cuadrículas de 16 km2 en cada paisaje seleccionado. Dos visitas por cuadrícula. Primera visita se seleccionó al azar dos celdas de 1 km2 que fueron muestreadas mediante una trampa cámara. 30 días después la segunda visita para retirar la trampa cámara.	4 x 4	Km	Días funcionando: 30 | # fotos: 30	22/10/2015	295	325	Cotacachi Cayapas Baja | TC9-1-5		Paisaje: P1|Fase: F1|Bloque: B1|ETC estandar: TC9-1-5|Criterios de colocacion: Actividad de fauna; topografia|Descrpcion del criterio: Cuchilla paso frecuente de animales area bajo conservacion sociobosque|Codigo camara: P850HI01226332|Modelo de camara: Reconix PC850  |Ano de camara: 2013|Sensibilidad: 100	South America	Ecuador	EC	Esmeraldas	Corriente Grande	232,8	Categoria manejo: Socio Bosque	lat: 0,667858 | lon: -78,959271	73865,87186	727115,3013	UTM 17N	WGS84	0,66786	-78,95927	WGS84	Requiere de verificación	Verificado por técnicos geógrafos SPN - el punto se encuentra en territorio pero se mantiene incertidumbre de precisión del dato
